Dao_title,categories,about,blockchain,followers
ens dao,"['other', 'other', 'other']","Our mission is to empower web3 citizens to interact easily with people, organizations, and smart contracts through self-sovereign identities.
",,0.0
thewipmeetup dao,['Social'],"The longest-running metaverse meetup where lightning strikes every Thursday at 12 pm PT. A @niftytime & @nftland production. Proudly sponsored by @prrfbeauty
",Ethereum,11000.0
eden network dao,['Protocol'],"A priority transaction network that protects traders from MEV, commoditizes priority block space, and aligns incentives for block producers
",Ethereum,21400.0
tornadao,"['other', 'other', 'other']","Reserve Currency DAO - focusing on charitable disaster relief contributions.
",,0.0
witnet dao,['DAO Tools'],"The decentralized oracle that is true to the censorship resistant nature of blockchains
",Ethereum,8000.0
talentdao,['other'],"Decentralize knowledge and unlock talent
 talentDAO is the leading social science research DAO and part of the broader decentralized science community. We help the DAO ecosystem and people in DAOs thrive.
",Ethereum,0.0
moshi mochi dao,"['other', 'other', 'other', 'other']","A community dedicated to addressing education and growth in the NFT space.
",,0.0
rekt dao,['Media'],"The dark web of DeFi journalism. Telegram: http://t.me/rekt_HQ - en français: http://t.me/rektFR
",,0.0
floordao,['DeFi'],"FloorDAO aims to become the largest decentralized NFT market maker through the use of Protocol Owned Liquidity and NFTX to earn high yields for its treasury.
 FloorDAO is an NFT market-making protocol. It aims to enable deep liquidity for NFT collections through the use of Protocol Controlled Value and yield-generating strategies, starting with NFTX vaults.
",Ethereum,4700.0
bankless dao,"['Social', 'Media']","A decentralized community with one mission: To help the world #gobankless by creating user-friendly onramps for people to discover decentralized financial technologies through education, media, and culture.
 Bankless is a movement for pioneers seeking liberation from the tyranny of the traditional financial system. Going Bankless means adopting decentralized, permissionless, and censorship-resistant technology. Through these means, we will achieve financial self-sovereignty, security, and prosperity.
BanklessDAO: A decentralized autonomous organization that acts as a steward of the Bankless Movement progressing the world towards a future of greater freedom.
🚀 Mission: We will help the world go Bankless by creating user-friendly onramps for people to discover decentralized financial technologies through education, media, and culture.
🔭 Vision: To live in a world where anyone with an internet connection has access to the financial tools needed to achieve financial independence.
🤝 Values
📚 Education
We learn from each other. We seek to become a trusted guide that empowers people all over the globe to adopt decentralized finance by sharing accurate, truthful, and objective information.
🗣️ Integrity
We operate transparently and build trust through radically public discourse and financial auditability.
🌐 Decentralized Governance
We put decision-making into the hands of the collective. We create legitimacy through an environment where the best ideas win.
👊 Culture
We reward action and embrace risk. We empower our community to continually drive new initiatives by providing a space to self-organize and quickly move from idea to action.
",Ethereum,88500.0
apecoin dao,['Social'],"ApeCoin is an ERC-20 governance and utility token used to empower a decentralized community building at the forefront of web3.
 The ApeCoin community governs itself via the ApeCoin DAO, the decentralized governance framework that supports the Ecosystem Fund. The DAO follows a proposal process to vote on how the Ecosystem Fund will be distributed by the APE Foundation to promote a diverse and self-sustaining ecosystem.
This governance guide is an overview of the proposal process. It’s a living document that will evolve and improve with the DAO community’s input.
",,0.0
loopring dao,['Operating Systems'],"Ethereum’s First zkRollup Layer2
 Loopring builds protocols, infrastructure, and user-facing products for the future of finance. We believe this future is built on Ethereum, and specifically on layer 2 (zkRollups).
Users of decentralized finance (DeFi) need not choose between security and performance. Loopring’s L2 provides a low-fee, high-speed platform for trading, swapping, liquidity providing, and payments - without sacrificing Ethereum security at all.
We envision a digital economy where users are empowered and always in control of their assets. Loopring has succeeded in proving that non-custodial technology can replicate custodial alternatives in speed, cost, and experience. We have made DEXes as performant as CEXes, and will outcompete incumbent fintech.
Loopring’s objective is to design and engineer the best-in-class zkRollup exchange and payment protocol on Ethereum, and to operate products that bring it to users across the world.
",,0.0
amp dao,['other'],"$AMP is a digital collateral token that provides instant, verifiable assurance for any real-world application
",,0.0
cryptohippos nft dao,"['Media', 'Collector']","A decentralized voting system for HIPPO token holders
",Ethereum,23900.0
meta gamma delta dao,['Social'],"An inclusive and empowering society supporting women-led projects.
 
Meta Gamma Delta DAO is an inclusive and empowering society supporting women-led
projects in the blockchain space. The DAO has grown to 100+ members and has
distributed grants focused on defi, NFTs, crypto education, and building for
diversity.


MGD has also launched the $1M Fund that will empower a fellowship program that
will onboard women into web3 and create opportunities for those looking to work
and thrive in this space. Get in touch via Twitter and the MGD website to learn
more!
",Ethereum,4600.0
lydia finance dao,['other'],"Lydia Finance is an Automated Market Maker, Yield Farming, Staking, and Launchpad platform on Avalanche
 We aim to leverage Avalanche’s unique features like low gas fees, quick finality, guaranteed timestamps and combine them with our intuitive UI and fun gamification to lower the average user’s entry barrier to DeFi and offer a fair marketplace and profitable yield farming for everyone. We believe that the best marketing in the crypto space is continuous development. Our goal is to continuously add useful and profitable features to Lydia Finance while providing a sustainable and innovative DeFi platform to our users and add more value to the Avalanche project.
",Avalanche,10700.0
illuvinati council dao,"['other', 'other', 'other']","Building the next generation in gaming
 Welcome to Illuvium soldier. On this planet you’ll battle and collect NFT’s called illuvials. Take them with you, they are yours as you move through the ranks. We made this guide to help newcomers familiarize themselves with the environment here and to help veterans stay up to date with whats going on. This is your life and livelihood we’re talking about. So take your time to understand the mechanics of this planet. Spend some time learning about tokenomics and you might just leave this planet a richer man. We’ll be updating this as we get more information, so come back and stay in touch. Command built this for you soldier. Use it wisely.
",,0.0
mantra dao,"['other', 'other']","MANTRA DAO aims to leverage crowd wisdom to create a community-governed, transparent, and decentralized ecosystem for web 3.0.
",,0.0
wgmi community dao,"['Social', 'DAO Tools']","We’re on a mission to bring more Community professionals to web3
 We’re sourcing the most cutting edge Community building strategies, programming, integrations, and execution by coordinating a DAO.
",,0.0
ape poo club dao,['Media'],"THIS AIN’T NO S**T IT’S THE POOVERSE
",Ethereum,18200.0
polaris finance dao,['DeFi'],"Algo. stablecoins pegged to $NEAR, $ETH, $BTC, $USDC & $BNB on Aurora
 The very first algorithmic stablecoins ecosystem on Aurora / NEAR. We are bringing multiple pegged assets 1:1 to native coins via seigniorage. Provide liquidity in DAWN Farms to get SPOLAR - governance token that controls inflation and expansion of all pegged assets. Stake your SPOLAR in SUNRISE to earn pegged assets.
",,0.0
sankore 2.0 dao,"['other', 'other', 'other']","Sankore 2.0 is a Blockchain Community building disruptive technologies on NEAR Protocol.
 Sankore 2.0 is a Blockchain Community building disruptive technologies on NEAR Protocol. We educate and nurture talented individuals to become world-class blockchain developers. Together with our partners, we excel in blockchain innovations and application.
SANKORE 2.0 was born out of the need to help businesses remain innovative in ever changing business environments. We do so by integrating blockchain technology in business operations.
",,0.0
snapshot labs dao,"['DAO Tools', 'DeFi']","Off-chain gasless multi-governance client with easy to verify and hard to contest results
",Ethereum,50800.0
bagels finance dao,['DeFi'],"The 1st cross-chain leveraged yield farming protocol(multi-chain)
",Binance,62900.0
tranche finance dao,"['other', 'other', 'other', 'other']","Tranche is a decentralized protocol for managing DeFi risk and maximizing returns.
 Tranche splits any interest generating asset from the DeFi ecosystem into two new assets; a fixed-rate asset that manages risk, and a variable-rate asset that maximizes returns.
",,0.0
lil nouns dao,['Collector'],"ONE LIL NOUN, EVERY 15 MINUTES, FOREVER
",Ethereum,2400.0
cryptoadz grants voting dao,"['other', 'other', 'other', 'other']","CrypToadz by Gremplin is a CC0 Project. Way to vote on funding community grants.
",,0.0
tornado cash dao,"['DAO Tools', 'Protocol', 'DeFi']","Decentralized, non-custodial privacy solution built on Ethereum
",Ethereum,63300.0
convex finance dao,['DeFi'],"Allows Curve.fi liquidity providers to earn trading fees and claim boosted CRV without locking CRV themselves
",Binance,60900.0
boson protocol dao,['Protocol'],"Web3’s Commerce Layer
 The signalling DAO is the first step towards being more inclusive and community governed. Decision-making in the form of a DAO will become progressively more decentralized in governing Boson Protocol. The signalling DAO is the genesis DAO of Boson Protocol that will support the token holders in deciding how to build the future of commerce.
The community will be able to vote on a range of topics using Snapshot. Snapshot is a voting tool used by DAOs and similar projects to govern some of the decisions in a coordinated manner that remains off-chain.
",Ethereum,18300.0
insure defi dao,['DeFi'],"A world-first DeFi, NFT, Metaverse Insurance Ecosystem with Staking Power.
",,0.0
snoopdao,['DeFi'],"SNOOP DAO is fo’ shizzle a decentralized world UBI protocol with the SNOOP token at its core. SNOOP protocol was inspired by it’s Big Homie: Squid DAO.
",Ethereum,0.0
bitkeep dao,"['DAO Tools', 'DeFi']","With a set of mnemonic phrase, you can manage numerous tokens across 50+ main chains  BitKeep adopts an original and unique DESM encryption algorithm to safeguard your digital assets.
 BitKeep is a decentralized multi-chain crypto wallet dedicated to providing safe and convenient one-stop digital asset management services to users around the world. We are now serving nearly 5 million users across 168 countries. BitKeep has forged partnerships with top 30 chains including Polygon (MATIC), Solana (SOL), Binance Smart Chain (BSC), Ethereum (ETH), HECO, OEC, TRON, Fantom (FTM), Wax, IOST, Avalanche (AVAX), zkSync, Terra (LUNA), Near, and Arbitrum, and become their official recommended wallet. With 50+ main chains, 8000+ DAPPs and 4,500+ cryptos supported, Bitkeep aims to provide the most convenient and easy-to-use decentralized portal to users.
",Ethereum,214500.0
kuma inu dao,"['Social', 'DeFi']","Community-focused, decentralized cryptocurrency for breeders
",Ethereum,47800.0
totem.earth dao,['other'],"Totem DAO 1.0
",Ethereum,38800.0
gauntlet dao,"['DAO Tools', 'DeFi']","Financial modeling and simulation platform for blockchains
",Ethereum,16100.000000000002
parakeet dao,['DAO Tools'],"DAO for the cross-chain metaverse ~ Omniverse | Aggreg. cross-chain NFT Utility | Parakeet bridge ~ easiest Omnichain bridge for NFTs
",Ethereum,4900.0
holygrail.one dao,"['other', 'other', 'other', 'other']","holygrail.one - HLY on Harmony ONE
",,0.0
warp finance dao,"['other', 'other', 'other', 'other', 'other']","An optimized lending powering a liquidity engine
",,0.0
biswap dao,['DeFi'],"The first decentralized exchange platform on the market with a three-type referral system and the lowest platform transaction fees (0.1%)
",Ethereum,321700.0
dorkis dao,['Collector'],"A collection of 4724 NFT Dorks
",Ethereum,6800.0
daneel  dao,['DAO Tools'],"The most powerful A.I. in cryptocurrency
",Ethereum,3800.0
omnisphere dao,"['other', 'other', 'other', 'other']","Omnisphere DAO is a Decentralized Full-Stack protocol enabling deployment of application in a decentralized manner for compute, storage and network.
",,0.0
zombie dao,"['other', 'other', 'other', 'other']","3333 Zombie Zebras. Owning a Zombie Zebra gives you exclusive access to a plethora of members-only benefits spanning both the digital and real world.
",,0.0
superdao,"['DAO Tools', 'Protocol', 'Social']","Operating system for DAOs
",Ethereum,5300.0
rainbow dao,"['Protocol', 'DeFi']","Ethereum wallet
",Ethereum,50100.0
dappradar dao,['other'],"The World’s Dapp Store, home of $RADAR & the most trusted source for exploring dapp data.
",,0.0
football club dao,"['Investment', 'Social', 'other']","Become the largest football social club in the world and serve as the global launchpad for football DAOs and communities.  Buy and run a pro football team
 We are a global network of football DAOs, starting with a social club, so that each member has immediate ownership in a self-governed community with no borders.
Football Club DAO has been founded upon 2 initial long-term goals:


Become the largest football social club in the world and serve as the global launchpad for football DAOs and communities


Buy and run a pro football team


",Ethereum,0.0
shinedao,"['Media', 'Social', 'Protocol']","Makes it easy to invest in seed-sales and IDOs of new projects, support with completing missions, and get rewarded with their tokens
",Ethereum,3100.0
keeperdao,"['DAO Tools', 'DeFi']","Coordinating, capturing, and redistributing on-chain profit back to DeFi users, protocols and Keepers
",Ethereum,29600.0
bastard penguins dao,['Collector'],"A collection of 9,999 Deflationary Penguins who have chosen to move from their frozen land to support the Penguins’ invasion of the Ethereum blockchain
",Ethereum,18000.0
coordinape dao,"['DAO Tools', 'Social']","Incentive programs for DAO members
",Ethereum,9800.0
ledger prime dao,"['other', 'Investment']","Quantitative and systematic digital asset investment firm
",Ethereum,4100.0
nym technologies dao,"['DAO Tools', 'Media', 'Social']","Open-source, decentralized and permissionless privacy system
",Ethereum,50500.0
onjuno dao,"['DAO Tools', 'DeFi', 'other']","Cross-border Neo Banking Platform that aims to give users across the world a high yield account to grow their savings
",Ethereum,18700.0
auroradao,"['Social Impact', 'Protocol']","The AuroraDAO is a decentralized autonomous organization that governs the Aurora protocol.
",,0.0
dope shibas dao,"['Collector', 'Social']","A cool degenerative collection on Ethereum Mainnet and a tribute to Cool Cats with 10,000 randomly generated Shibas that are assembled from 180 different items layered on top of each other
",Ethereum,6900.0
open source dao,['other'],"The commmunity is on a mission to promote open source contribution by rewarding open source contributors and supporting open source projects through web 3
 (1) Creation of an ERC 20 token called open source taken SOST which will be given to every contributor that submit a link to their Merged puil request
(2) Creation of an ERC 721 token for our NFT badge which will
serve the same purpose as mentioned above (3) Funding of open issues on open source projects with our token this will be done in the form of a bounty program
",Polygon,0.0
opium network dao,"['other', 'other', 'other', 'other', 'other']","Opium is a protocol for creating, settling, and trading any decentralised derivative.
 The Opium protocol is a smart escrow that enables two parties to make a trustless contract and holds an asset on their behalf until contract terms are fully or partially fulfilled. It is used when two parties are in the process of completing a transaction, and there is uncertainty over whether one party will be able to fulfill their obligations or when the transaction depends on an outcome of a future event. A safe accepts an asset according to a rule and releases it in some time according to another rule that depends on an oracle. Oracle communicates to the escrow whether the desired event occurred or not or provides some numerical data and thus triggers the execution of the transaction.
",,0.0
castle kid dao vault dao,"['other', 'other', 'other', 'other']","This is the vault for castle kid DAO. Colinseyes’ Castle Kid NFT.
",,0.0
curve finance dao,['DeFi'],"Creating deep on-chain liquidity using advanced bonding curves
",Gnosis,356000.0
conjure dao,"['DeFi', 'Protocol']","Conjure allows permissionless automatic creation of boundless synthetic assets, including, DeFi aggregators, legacy finance and real-world commodities indices.
",Ethereum,0.0
nfbeez dao,"['other', 'other', 'other', 'other']","A Collection of unique animated bees from the community artists of 1Hive and Friendly Communities
",,0.0
quantstamp dao,['DAO Tools'],"Leader in blockchain security providing expert security audits and blockchain solutions
",Ethereum,79700.0
the daoist dao,"['Social', 'Media']","Community that is inclusive, has great training wheels, provides more than takes, invites rather than selects, works with existing entities, relational and dialogue focused - a public good
",Ethereum,8200.0
miners dao,['DeFi'],"Organization for Mineable Tokens Technology
",Ethereum,4500.0
kong land dao,"['Metaverse', 'other', 'Social']","Freedoms in digital society cannot be passively realized but must be actively fought for. The goal must be to bridge the digital world and the physical world - to create physical goods that are cryptographically secure down to the microchip.
 KONG Land is a digital state that is governed by $CITIZENs. The DAO also acts as a State Manufactory, tasked with coordinating the production, marketing, and sale of secure chip technology with the goal of bridging the physical with the digital. Within KONG Land DAOs may form or partner to integrate, distribute and evangelize those sound cryptographic goods.
",,0.0
unslashed finance dao,"['Protocol', 'DeFi']","Decentralized Insurance Protocol built on Ethereum
",Ethereum,10300.0
metatravelers dao,"['other', 'other', 'other', 'other']","Travel across the chain worlds through the eyes of your very own Nibiru where the lore lies in your hands.
",,0.0
acala  dao,"['DAO Tools', 'Protocol']","Ethereum-compatible smart contract platform optimized for DeFi on Polkadot
",,0.0
wilder world dao,['Social'],"Immersive 5D Metaverse built on Ethereum
 The Wilder Nation is a community of over 30K people passionate about building the road to the Wilder World metaverse. Some outstanding citizens have demonstrated the Wilder Spirit and the philosophy of Wilder World in such impressive ways and we have dedicated this space to salute those community members. You can also find information here on the regular community events held in Discord and Telegram and our community guidelines which embody the Wilder Spirit.
",Ethereum,186700.0
trustlines foundation dao,"['Social', 'Protocol']","A part of the Trustlines Network ecosystem, which aims to promote financial & economic inclusion of all people through decentralized, open source systems
",Ethereum,1300.0
cryptotesters dao,['Media'],"“Resource to navigate the crypto universe”
",,0.0
matter labs dao,['Protocol'],"Scaling Ethereum with zero-knowledge proofs??
",Ethereum,35500.0
pathdao,['Metaverse'],"Paving the road to the metaverse
 PathDAO is a community-first, decentralized autonomous organization (DAO) that creates value for investors and players in the growing blockchain metaverse (game + social + NFTs)
",Ethereum,34800.0
claystack dao,['DeFi'],"Crypto staking platform allowing its users to stake their tokens and participate in the DeFi ecosystem at the same time
",Polygon,44600.0
karura dao,['Protocol'],"The all-in-one DeFi hub of KusamavNetwork
",,0.0
gnosis dao,"['DAO Tools', 'other']","The Gnosis DAO community leads Gnosis’ strategy in building and promoting prediction-market tools and protocols for finance & governance. It is the producer of MUCH used Gnosis Safe.
",Ethereum,14600.0
deus finance  dao,['DeFi'],"Transposes any digitally verifiable asset securely onto the blockchain—Trade real-world assets and derivatives on the blockchain without limits.
",,0.0
1inch network dao,"['DAO Tools', 'DeFi']","The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.
 The 1inch Network unites decentralized protocols whose synergy enables the most lucrative, fastest and protected operations in the DeFi space.",Ethereum,21000.0
blockchain at yonsei investment dao,"['other', 'other', 'other']","A university student blockchain organization for research and education
",,0.0
origin protocol dao,['Protocol'],"A protocol for creating sharing economy marketplaces using the Ethereum blockchain and IPFS
",Ethereum,201500.0
voltswap dao,"['other', 'other']","World’s first front running resistant layer 2 crosschain swap
 VoltSwap is the first major DEX in the Meter ecosystem.  It is a completely community-driven project and was introduced by the Meter.io team to showcase the capabilities of the Meter blockchain. Voltswap products are configured to allow decentralized governance of the entire platform by VOLT token holders. The swap has several key features that are specifically designed for retail traders and investors.
",,0.0
dotfinance dao,"['DAO Tools', 'DeFi']","Developed to spur Polkadot’s growth trajectory by reducing barriers to participation while maximizing the performance and efficiency of assets and tokens that are deployed to different DeFi products
",Ethereum,19700.0
aventures dao,"['other', 'other']","Investment DAO supporting and investing in innovative Avalanche projects.
",,0.0
metfi dao,"['Metaverse', 'DeFi', 'Venture Capital']","World’s first DeFi 2.0 collectible NFT ecosystem focused on incubating metaverse and Web3 unicorns and sharing the financial returns with all MetFi NFT owners.
 MetFi aspires to be the world’s #1 metaverse and web3 incubator, executing strategic early-stage investments in the next wave of metaverse and web3 unicorns, giving individuals like you an early stake in metaverse and web3 projects before the general public.
",Binance,3800.0
the fans together dao,"['Investment', 'Social']","The Fans Together’s mission is to bring large scale, widespread fan ownership to sports  and to give a real voice back to the fans.
 The Fans Together is a DAO bringing large-scale, widespread fan ownership to sports. TFT is utilizing web3 technology to give a voice back to fans across the globe. Token holders are the owners of all our club assets and can interact with any of the owned clubs. As a benefit, fans are working together to build the fortunes of their clubs.
",Polygon,0.0
mac&cheese (xvmc) dao,['DeFi'],"A Dynamic Decentralized Time Deposit
",Polygon,2700.0
commander dao,"['other', 'other', 'other']","Commander DeFi aims to be the first community-run project in the BSC ecosystem. Enjoy P2E - Staking - Community Rewards - NFT Collections and more. Join the Commander to the Moon!
",,0.0
meteorite dao,['DeFi'],"Decentralized Quant Trading Platform
",Ethereum,2800.0
rose finance dao,"['DAO Tools', 'DeFi']","A network to buy and sell like/subscribe in social network
",Binance,3100.0
enterdao,"['Protocol', 'Metaverse', 'DAO Tools', 'DeFi']","Initiative, which grants voting rights to the $ENTR holders
",Ethereum,12700.0
spinada cash dao,"['DAO Tools', 'Protocol']","First decentralized private transaction protocol for Cardano
",Binance,3500.0
keep3r network dao,"['other', 'other', 'other']","Keep3r Network provides keepers with a list of available jobs.
",,0.0
gmx dao,"['DeFi', 'Protocol']","GMX is a decentralized spot and perpetual exchange that supports low swap fees and zero price impact trades.
 GMX is a decentralized spot and perpetual exchange that supports low swap fees and zero price impact trades. Trading is supported by a unique multi-asset pool that earns liquidity providers fees from market making, swap fees and leverage trading. Dynamic pricing is supported by Chainlink Oracles and an aggregate of prices from leading volume exchanges.
",Avalanche,17100.0
mad banana union dao,"['other', 'other', 'other', 'other']","The community voting snapshot for Mad Banana Union: 6969 unique mad NFTs 🍌
",,0.0
the culture project dao,"['Media', 'Social']","Working towards being a part of the culture
",,0.0
duckdao incubator dao,['Investment'],"DuckDAO, the world’s largest crosschain Incubator for crypto projects. https://t.me/duckdaolobby
",Ethereum,122000.0
faction mutual dao,['DeFi'],"Hybrid #DAO #DeFi as a Service protocol built by the people for the people.
",,0.0
circular art dao,"['other', 'other', 'other', 'other']","Circular Art is a generative art platform designed to sustainably fund public goods while providing a platform for artists to thrive.
",,0.0
dragonmasterdao,"['Gaming', 'Entertainment']","DragonMaster is a blockchain and Web3 based Metaverse game that blends RTS, MOBA, Collectible and Play-to-Earn gameplay
",Polygon,31300.0
basiscash dao,['DeFi'],"Fairly-launched Decentralized Algorithmic Stablecoin
 Basis Cash is an open-source, permissionless algorithmic stablecoin. The Basis Cash protocol aims to revive the original vision of basis.io, initially released as a lightweight implementation on the Ethereum blockchain. Adding ideas and innovations made since the original Basis project shut down, the Basis Cash team has made modifications to the original mechanism outlined with its whitepaper
",Ethereum,4300.0
autonomous boss dao,"['Protocol', 'Social']","It helps autonomous companies find the human resources they need to interface with the physical world
",Ethereum,0.0
global coin research dao,"['Social', 'Investment']","Tokenized DAO of crypto readers, writers, and investors with direct access to high quality content and deals
",Binance,16500.0
myco dao,['DAO Tools'],"Build communities that you actually own
 A platform for digital social clubs that are co-owned by their members.",,0.0
oto dao,['Venture Capital'],"OTO is a Venture Capital DAO that incubates rewarding projects. OTO follows its investment protocol to incentivize blockchain visionaries to BUIDL and HODL.
 OTO is a decentralized venture capital on Binance Smart Chain. It incubates other projects the OTO community believes to be promising. Its dividend distributions are codified and self-enforcing through smart contracts. OTO’s one and only mission is to create value for its hodlers and advocates. Through its tokenomics, OTO rewards long-term investors over day-trading speculators and whales who dump.
",Binance,0.0
sw dao,['DeFi'],"SW DAO is a global community that will launch and maintain the world’s most sophisticated crypto financial products.
",Ethereum,2000.0
opendao,"['DeFi', 'Protocol']","Leveling the playing field for both creators and collectors
",,0.0
friends with benefits dao,['Social'],"FWB is a restricted creators/thinkers club that contemplates and organizes to enhance diverse crypto culture and the creative class. It acts on ideation, community-building, digital art gallery and more.
",Ethereum,79400.0
creatordao,"['Media', 'Social']","Web3 Creative/Commission Platform. By Creator, For Creator.
",,0.0
sobol dao,"['DAO Tools', 'other']","Organizational accountability tool for visualizing your community and working relationships
",Ethereum,1200.0
venrock dao,"['Venture Capital', 'Investment']","VC firm helping entrepreneurs build some of the world’s most disruptive, successful companies
",Ethereum,18700.0
cryptozombiez nft dao,['Collector'],"A collection of 5555 unique pixel zombiez on the Ethereum Blockchain
",Ethereum,10900.0
float protocol dao,"['DeFi', 'Protocol']","Floating, low-volatility currency for web3, by a team of anonymous researchers.
",Ethereum,11500.0
uniswap dao,['DeFi'],"Protocol for trading and automated liquidity provision on ethereum
",Ethereum,1000000.0
insuredao,"['DeFi', 'other']","Insurance is the masterpiece of DeFi scalability - we stabilize the entire ecosystem
 InsureDAO builds for DeFi protocol users to safely earn their annual interest, hedging against hacking risk by providing coverage policy.
If you want to get covered when you ape-in-to new DeFi protocol, you can simply find and buy your policy from InsureDAO!
When the DeFi protocol get attacked and you get some loss, you can claim your policy once ReportingDAO, an incident oracle, judges to pay you out.
Your loss will be covered by policy, that’s how InsureDAO works.
",Ethereum,6600.0
revault dao,['DeFi'],"revault.network DAO
",,0.0
zerogoki dao,"['Protocol', 'DeFi']","Leveraged synthetic assets minting platform based on the algorithm-pegging model from @duetprotocol
",Ethereum,72100.0
riot racers dao,"['Gaming', 'Social']","Play-to-Earn Crypto Game
",Ethereum,7700.0
brightid dao,['other'],"Bright ID is a social identity network that peer-identifies or disqualifies prospective members as trusted unique users of plugged-in dapps, without storing personal data;The BrightID Development DAO served the project’s development team until (cu…
",Ethereum,57700.0
nftstudio dao,['Collector'],"Video and music NFT collection
 Made for artists, creators and collectors. Mint, explore and collect unique digital artworks and enter a new era of creativity!
",Ethereum,0.0
digifun dao,"['Metaverse', 'Media']","Digital creation governed by a DAO
",,0.0
stakerdao,"['DeFi', 'Investment', 'Venture Capital']","StakerDAO governance is run by a community of blockchain and finance enthusiasts who govern decisions for building cross-chain, decentralized financial assets in a compliant manner.
 StakerDAO is the cross-chain asset factory. Staker enables the vibrant future of decentralized finance. StakerDAO is a “Decentralized Autonomous Organization” that is self-governed by its token holders. Through a unique approach to governance, Staker launches and manages financial assets at scale for the expanding DeFi ecosystem.
",Tezos,0.0
zerion dao,"['DAO Tools', 'DeFi']","All-in-one interface that allows technical and non-technical users to acquire, track and manage DeFi assets
",Ethereum,97400.0
super whale dao,"['Investment', 'Entertainment']","
Participate in the world’s first community/blockchain driven storytelling universe.
Manage and grow shared resources.
Guide strategic decisions.

",,0.0
pnetwork dao,"['DeFi', 'other']","pNetwork enables the transfer of digital assets such as tokens, NFTs, and DAOs across blockchains.
",Binance,85000.0
ribbon dao,"['DAO Tools', 'DeFi', 'Protocol']","A new protocol that helps users access crypto structured products for DeFi; combines options, futures, and fixed income to improve a portfolio’s risk-return profile
",Ethereum,52200.0
bright moments dao,['Collector'],"NFT Art Gallery pioneering the future of art being co-created & co-consumed. Where Art is Born.
 Bright Moments is an arts organization owned and operated by holders of CryptoCitizen NFTs. We are on a mission to educate, empower, and connect communities around the world through unforgettable, unique experiences. Over the next two years, Bright Moments will launch in 10 cities determined by the CryptoCitizen community. Join the DAO by purchasing or minting a CryptoCitizen.
",Ethereum,22400.0
pendle dao,['DeFi'],"Protocol that enables the tokenization and trading of future yield
",Ethereum,23300.0
neptune dao,['Investment'],"A liquidity DAO for scaled yield. Only for accredited investors
",Ethereum,3600.0
cool cookies dao,"['Collector', 'Social']","The project was created to spread mental health awareness and advocate for suicide prevention
",Ethereum,2700.0
coffin finance dao,['other'],"Decentralized and Capital Efficient Partially Collateralized Stablecoin Protocol on Fantom Opera!
",,0.0
euler  dao,['DAO Tools'],"Democratising the assets people can lend and borrow
",Ethereum,33000.0
cake monster dao,"['other', 'other', 'other', 'other', 'other']","A hyper-deflationary and elastic supply token that has unique reserve and reward mechanisms featuring an automated hybrid monetary policy.
 Cake Monster is a unique and elastic DeFi protocol that works in deflationary two year cycles on BNB Chain. The intrinsic token (MONSTA) value is backed by its non-correlated asset vault reserves (e.g BNB, CAKE), which are largely used to reward holders at the end of each cycle.
",,0.0
faraland dao,['Gaming'],"Multiplayer RPG NFT GAME on BSC that lets players own a thousand of unique NFT warriors
",Binance,140300.0
koala intelligence agency dao,['Collector'],"An NFT collection of 10,000 unique Koalas
",Ethereum,29300.0
metalink  dao,['Social'],"Social crypto
",Binance,37000.0
the grand banks dao,['DeFi'],"Grand Banks is Yield Farming made it simple platform by staking in only one click, which can deposit and withdraw it call zap function.
",Binance,5600.0
async art dao,"['Collector', 'Social']","The world’s first programmable cryptoart platform built on the Ethereum blockchain
 Explore limited editions of generative and provably random art collections made with Blueprints on Async Canvas. Also the first NFT music player on Apple.
",Ethereum,67600.0
ubi dao,"['other', 'other', 'other']","Universal Basic Income DAO.
 Proof of Humanity, a system combining webs of trust, with reverse Turing tests, and dispute resolution to create a sybil-proof list of humans.
",,0.0
bitdao,"['DeFi', 'Protocol']","BitDAO aims to use its financial and talent resources to foster and invest in innovation, collaboration, and growth across DeFi
",Ethereum,44000.0
streamr dao,"['other', 'other', 'other', 'other', 'other']","Create, share and consume data streams on an open, scalable Web3 protocol with powerful tools for monetization
",Ethereum,7400.0
dune analytics dao,"['DAO Tools', 'Social']","Free crypto analytics by and for the community
",Polygon,98600.0
tiledao,"['Collector', 'Media']","TileDAO exists to reinvest revenue from the Tiles primary sale back into the creators’ economy
 TileDAO exists to reinvest revenue from the Tiles primary sale back into the creators’ economy. Because the supply of Tiles is virtually limitless, the sale may continue indefinitely. The goal in forming this DAO is to amass inspiration, ideas, and opinions from everyone who has bought into this project, in order to best determine how the funding should be put to use.
",,0.0
paradigm dao,['Venture Capital'],"Investment firm focused on supporting the great crypto companies, protocols and currencies of tomorrow
",,0.0
collab.land dao,"['DAO Tools', 'Social']","Creating a social space unique for tokenized communities
",,0.0
kuswap finance dao,['DeFi'],"The no. 1 DEX/AMM on KuCoin Community Chain
",Bitcoin,29400.0
coinfund dao,"['Investment', 'other']","CoinFund partners with the creators behind the digital assets, key enabling infrastructure, and decentralization technologies shaping the future of blockchain
",,0.0
dydx protocol dao,['DeFi'],"Non-custodial decentralized exchange that allows users to leverage trade via Ethereum smart contracts
",Ethereum,52500.0
